pair_id,phenomenon,model,condition,gold_label,predicted_label,correct,score_yes,score_no,margin_yes_minus_no,s,s_eval,edit_type,split
neg_000024,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.75,-50.75,25.0,A school is not a toy.,A school is not a toy.,remove_not,dev
neg_000025,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-28.75,-9.5,A phone is a device.,A phone is not a rock.,insert_not,dev
neg_000025,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-49.0,24.0,A phone is a device.,A phone is a device.,insert_not,dev
neg_000026,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.0,-23.75,-13.25,A phone is not a rock.,A phone is a device.,remove_not,train
neg_000026,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.0,24.5,A phone is not a rock.,A phone is not a rock.,remove_not,train
neg_000027,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.75,-26.75,-10.0,A fork is a utensil.,A fork is not a knife.,insert_not,test
neg_000027,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-48.75,23.75,A fork is a utensil.,A fork is a utensil.,insert_not,test
neg_000028,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.75,-24.625,-10.125,A fork is not a knife.,A fork is a utensil.,remove_not,train
neg_000028,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-50.25,25.25,A fork is not a knife.,A fork is not a knife.,remove_not,train
neg_000029,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-27.875,-9.875,A knife is a tool.,A knife is not a fruit.,insert_not,test
neg_000029,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.25,24.625,A knife is a tool.,A knife is a tool.,insert_not,test
neg_000030,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-24.5,-11.0,A knife is not a fruit.,A knife is a tool.,remove_not,train
neg_000030,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-51.0,25.625,A knife is not a fruit.,A knife is not a fruit.,remove_not,train
neg_000031,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.0,-28.125,-9.875,A boat is a vehicle.,A boat is not a mammal.,insert_not,train
neg_000031,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-49.25,24.0,A boat is a vehicle.,A boat is a vehicle.,insert_not,train
neg_000032,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.0,-25.25,-11.75,A boat is not a mammal.,A boat is a vehicle.,remove_not,dev
neg_000032,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-52.0,26.125,A boat is not a mammal.,A boat is not a mammal.,remove_not,dev
neg_000033,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.5,-45.25,11.75,A grape is a fruit.,A grape is not a vegetable.,insert_not,train
neg_000033,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-50.75,24.875,A grape is a fruit.,A grape is a fruit.,insert_not,train
neg_000034,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.5,-43.25,9.75,A grape is not a vegetable.,A grape is a fruit.,remove_not,dev
neg_000034,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.5,25.25,A grape is not a vegetable.,A grape is not a vegetable.,remove_not,dev
neg_000035,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.25,-31.0,-5.25,A pigeon is a bird.,A pigeon is not a plant.,insert_not,train
neg_000035,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-50.5,24.625,A pigeon is a bird.,A pigeon is a bird.,insert_not,train
neg_000036,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.75,-23.125,-11.625,A pigeon is not a plant.,A pigeon is a bird.,remove_not,train
neg_000036,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-51.5,25.625,A pigeon is not a plant.,A pigeon is not a plant.,remove_not,train
neg_000037,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.0,-26.25,-10.75,A spoon is a utensil.,A spoon is not a reptile.,insert_not,train
neg_000037,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-50.0,24.625,A spoon is a utensil.,A spoon is a utensil.,insert_not,train
neg_000038,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.5,-24.125,-12.375,A spoon is not a reptile.,A spoon is a utensil.,remove_not,test
neg_000038,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-51.25,25.625,A spoon is not a reptile.,A spoon is not a reptile.,remove_not,test
neg_000039,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.5,-48.0,14.5,A person is a mammal.,A person is not a reptile.,insert_not,train
neg_000039,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.25,24.625,A person is a mammal.,A person is a mammal.,insert_not,train
neg_000040,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.0,-25.625,-10.375,A person is not a reptile.,A person is a mammal.,remove_not,train
neg_000040,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-50.5,25.125,A person is not a reptile.,A person is not a reptile.,remove_not,train
neg_000041,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-28.25,-7.25,A fig is a tree.,A fig is not a mineral.,insert_not,train
neg_000041,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-50.5,24.375,A fig is a tree.,A fig is a tree.,insert_not,train
neg_000042,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.5,-21.0,-17.5,A fig is not a mineral.,A fig is a tree.,remove_not,train
neg_000042,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.75,-51.0,25.25,A fig is not a mineral.,A fig is not a mineral.,remove_not,train
neg_000043,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.75,-29.625,-7.125,A rock is a mineral.,A rock is not a vegetable.,insert_not,dev
neg_000043,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-24.375,-47.5,23.125,A rock is a mineral.,A rock is a mineral.,insert_not,dev
neg_000044,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.0,-23.5,-11.5,A rock is not a vegetable.,A rock is a mineral.,remove_not,test
neg_000044,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.75,25.625,A rock is not a vegetable.,A rock is not a vegetable.,remove_not,test
neg_000045,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.75,-25.0,-13.75,A book is a publication.,A book is not a mammal.,insert_not,train
neg_000045,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.25,25.0,A book is a publication.,A book is a publication.,insert_not,train
neg_000046,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.75,-25.5,-11.25,A book is not a mammal.,A book is a publication.,remove_not,train
neg_000046,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-52.5,26.375,A book is not a mammal.,A book is not a mammal.,remove_not,train
neg_000047,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-34.0,-46.25,12.25,A bee is an insect.,A bee is not a mammal.,insert_not,dev
neg_000047,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-51.0,24.875,A bee is an insect.,A bee is an insect.,insert_not,dev
neg_000048,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.25,-48.5,15.25,A bee is not a mammal.,A bee is an insect.,remove_not,train
neg_000048,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-52.0,25.875,A bee is not a mammal.,A bee is not a mammal.,remove_not,train
neg_000049,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.75,-46.75,14.0,A cat is a mammal.,A cat is not a reptile.,insert_not,train
neg_000049,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-51.0,25.125,A cat is a mammal.,A cat is a mammal.,insert_not,train
neg_000050,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.75,-24.5,-10.25,A cat is not a reptile.,A cat is a mammal.,remove_not,train
neg_000050,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.25,25.125,A cat is not a reptile.,A cat is not a reptile.,remove_not,train
neg_000051,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-31.625,-47.25,15.625,A snake is a reptile.,A snake is not a mammal.,insert_not,train
neg_000051,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.75,25.125,A snake is a reptile.,A snake is a reptile.,insert_not,train
neg_000052,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.75,-48.5,15.75,A snake is not a mammal.,A snake is a reptile.,remove_not,dev
neg_000052,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-52.5,26.375,A snake is not a mammal.,A snake is not a mammal.,remove_not,dev
neg_000053,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.0,-36.75,3.75,A donkey is an animal.,A donkey is not a person.,insert_not,train
neg_000053,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-49.25,24.25,A donkey is an animal.,A donkey is an animal.,insert_not,train
neg_000054,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.75,-26.5,-9.25,A donkey is not a person.,A donkey is an animal.,remove_not,test
neg_000054,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-51.5,25.625,A donkey is not a person.,A donkey is not a person.,remove_not,test
neg_000055,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.25,-36.25,4.0,A squirrel is an animal.,A squirrel is not a mineral.,insert_not,train
neg_000055,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.25,24.625,A squirrel is an animal.,A squirrel is an animal.,insert_not,train
neg_000056,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.25,-24.875,-11.375,A squirrel is not a mineral.,A squirrel is an animal.,remove_not,test
neg_000056,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.125,-52.5,26.375,A squirrel is not a mineral.,A squirrel is not a mineral.,remove_not,test
neg_000057,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.75,-34.5,1.75,A cobra is a reptile.,A cobra is not a mineral.,insert_not,train
neg_000057,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-49.5,24.375,A cobra is a reptile.,A cobra is a reptile.,insert_not,train
neg_000058,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.25,-23.375,-13.875,A cobra is not a mineral.,A cobra is a reptile.,remove_not,train
neg_000058,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-51.5,26.0,A cobra is not a mineral.,A cobra is not a mineral.,remove_not,train
neg_000059,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.25,-43.75,10.5,A turtle is a reptile.,A turtle is not a bird.,insert_not,test
neg_000059,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-51.0,25.125,A turtle is a reptile.,A turtle is a reptile.,insert_not,test
neg_000060,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.75,-27.625,-7.125,A turtle is not a bird.,A turtle is a reptile.,remove_not,train
neg_000060,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-50.75,25.375,A turtle is not a bird.,A turtle is not a bird.,remove_not,train
neg_000061,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.25,-45.75,12.5,A bird is an animal.,A bird is not a mineral.,insert_not,train
neg_000061,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.0,-51.0,25.0,A bird is an animal.,A bird is an animal.,insert_not,train
neg_000062,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.25,-24.0,-11.25,A bird is not a mineral.,A bird is an animal.,remove_not,train
neg_000062,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-49.75,24.625,A bird is not a mineral.,A bird is not a mineral.,remove_not,train
neg_000063,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.75,-31.25,-4.5,A car is a vehicle.,A car is not a bush.,insert_not,train
neg_000063,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-50.0,24.625,A car is a vehicle.,A car is a vehicle.,insert_not,train
neg_000064,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.5,-26.625,-9.875,A car is not a bush.,A car is a vehicle.,remove_not,train
neg_000064,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-48.75,23.5,A car is not a bush.,A car is not a bush.,remove_not,train
neg_000065,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.5,-31.625,-6.875,A rose is a flower.,A rose is not a weed.,insert_not,train
neg_000065,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.5,24.875,A rose is a flower.,A rose is a flower.,insert_not,train
neg_000066,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.0,-22.625,-14.375,A rose is not a weed.,A rose is a flower.,remove_not,test
neg_000066,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.75,25.25,A rose is not a weed.,A rose is not a weed.,remove_not,test
neg_000067,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.0,-31.75,-4.25,A lily is a flower.,A lily is not a tree.,insert_not,train
neg_000067,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-48.75,23.5,A lily is a flower.,A lily is a flower.,insert_not,train
neg_000068,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.0,-22.625,-12.375,A lily is not a tree.,A lily is a flower.,remove_not,test
neg_000068,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-50.25,24.75,A lily is not a tree.,A lily is not a tree.,remove_not,test
neg_000069,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-31.625,-3.875,A daisy is a flower.,A daisy is not a tree.,insert_not,train
neg_000069,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-24.625,-48.0,23.375,A daisy is a flower.,A daisy is a flower.,insert_not,train
neg_000070,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.25,-23.875,-11.375,A daisy is not a tree.,A daisy is a flower.,remove_not,train
neg_000070,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.75,25.625,A daisy is not a tree.,A daisy is not a tree.,remove_not,train
neg_000071,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.0,-32.5,-3.5,A tulip is a flower.,A tulip is not a tree.,insert_not,train
neg_000071,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-49.25,23.875,A tulip is a flower.,A tulip is a flower.,insert_not,train
neg_000072,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.0,-23.375,-11.625,A tulip is not a tree.,A tulip is a flower.,remove_not,train
neg_000072,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-50.75,25.5,A tulip is not a tree.,A tulip is not a tree.,remove_not,train
neg_000073,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.0,-28.25,-9.75,A snake is an animal.,A snake is not a toy.,insert_not,train
neg_000073,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.25,-49.5,24.25,A snake is an animal.,A snake is an animal.,insert_not,train
neg_000074,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-24.125,-14.125,A snake is not a toy.,A snake is an animal.,remove_not,train
neg_000074,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.75,-51.0,25.25,A snake is not a toy.,A snake is not a toy.,remove_not,train
neg_000075,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.5,-36.25,-0.25,A crocodile is an animal.,A crocodile is not a mammal.,insert_not,train
neg_000075,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.0,-48.75,23.75,A crocodile is an animal.,A crocodile is an animal.,insert_not,train
neg_000076,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-31.75,-3.75,A crocodile is not a mammal.,A crocodile is an animal.,remove_not,train
neg_000076,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-52.0,26.125,A crocodile is not a mammal.,A crocodile is not a mammal.,remove_not,train
neg_000077,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-25.75,-12.0,A mice is a rodent.,A mice is not a toy.,insert_not,train
neg_000077,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-23.625,-44.0,20.375,A mice is a rodent.,A mice is a rodent.,insert_not,train
neg_000078,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.5,-24.5,-13.0,A mice is not a toy.,A mice is a rodent.,remove_not,train
neg_000078,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-24.5,-48.25,23.75,A mice is not a toy.,A mice is not a toy.,remove_not,train
neg_000079,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-34.0,-46.75,12.75,A horse is an animal.,A horse is not a person.,insert_not,test
neg_000079,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-50.25,24.625,A horse is an animal.,A horse is an animal.,insert_not,test
neg_000080,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.5,-25.375,-10.125,A horse is not a person.,A horse is an animal.,remove_not,test
neg_000080,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.5,25.375,A horse is not a person.,A horse is not a person.,remove_not,test
neg_000081,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.75,-29.5,-9.25,A mouse is an animal.,A mouse is not a toy.,insert_not,dev
neg_000081,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.5,-49.75,24.25,A mouse is an animal.,A mouse is an animal.,insert_not,dev
neg_000082,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-37.75,-24.875,-12.875,A mouse is not a toy.,A mouse is an animal.,remove_not,train
neg_000082,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.25,-51.5,25.25,A mouse is not a toy.,A mouse is not a toy.,remove_not,train
neg_000083,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-32.5,-36.0,3.5,A salmon is a fish.,A salmon is not a fruit.,insert_not,train
neg_000083,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-50.75,24.875,A salmon is a fish.,A salmon is a fish.,insert_not,train
neg_000084,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-33.5,-24.375,-9.125,A salmon is not a fruit.,A salmon is a fish.,remove_not,train
neg_000084,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-51.75,26.125,A salmon is not a fruit.,A salmon is not a fruit.,remove_not,train
neg_000085,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-35.0,-45.25,10.25,A carrot is a vegetable.,A carrot is not a mineral.,insert_not,train
neg_000085,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.125,-50.0,24.875,A carrot is a vegetable.,A carrot is a vegetable.,insert_not,train
neg_000086,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-35.25,-24.5,-10.75,A carrot is not a mineral.,A carrot is a vegetable.,remove_not,train
neg_000086,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-50.5,25.125,A carrot is not a mineral.,A carrot is not a mineral.,remove_not,train
neg_000087,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-38.25,-28.375,-9.875,A table is a furniture.,A table is not a toy.,insert_not,test
neg_000087,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.375,-48.5,23.125,A table is a furniture.,A table is a furniture.,insert_not,test
neg_000088,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-36.0,-24.0,-12.0,A table is not a toy.,A table is a furniture.,remove_not,train
neg_000088,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.625,-51.25,25.625,A table is not a toy.,A table is not a toy.,remove_not,train
neg_000089,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-33.75,-46.75,13.0,A rabbit is a mammal.,A rabbit is not a bird.,insert_not,test
neg_000089,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-26.375,-51.75,25.375,A rabbit is a mammal.,A rabbit is a mammal.,insert_not,test
neg_000090,negation,google/gemma-3-4b-it,counterfactual,no,no,True,-34.0,-25.125,-8.875,A rabbit is not a bird.,A rabbit is a mammal.,remove_not,train
neg_000090,negation,google/gemma-3-4b-it,identity_control,yes,yes,True,-25.875,-51.75,25.875,A rabbit is not a bird.,A rabbit is not a bird.,remove_not,train
neg_000091,negation,google/gemma-3-4b-it,counterfactual,no,yes,False,-34.25,-47.0,12.75,A dog is a mammal.,A dog is not a fish.,insert_not,train
