batch_item_id,pair_id,phenomenon,s,s_cf,annotation_prompt_version
49,attach_000006,attachment,The driver showed the guide with the map.,The driver showed the guide who had the map.,css_human_change_v1
50,role_000060,role_reversal,The musician greeted the judge.,The judge greeted the musician.,css_human_change_v1
51,neg_000041,negation,The nurse praised the lawyer.,The nurse did not praise the lawyer.,css_human_change_v1
52,neg_000058,negation,The scientist did not visit the researcher.,The scientist visited the researcher.,css_human_change_v1
53,role_000012,role_reversal,The judge promoted the engineer.,The engineer promoted the judge.,css_human_change_v1
54,attach_000079,attachment,"With the badge, the coach questioned the officer.",The coach questioned the officer who had the badge.,css_human_change_v1
55,attach_000087,attachment,The passenger noticed the teacher with the umbrella.,The passenger noticed the teacher who had the umbrella.,css_human_change_v1
56,attach_000090,attachment,The artist photographed the tourist with the camera.,The artist photographed the tourist who had the camera.,css_human_change_v1
57,neg_000004,negation,The driver did not promote the nurse.,The driver promoted the nurse.,css_human_change_v1
58,role_000032,role_reversal,The driver blamed the student.,The student blamed the driver.,css_human_change_v1
59,neg_000013,negation,The nurse helped the doctor.,The nurse did not help the doctor.,css_human_change_v1
60,attach_000025,attachment,"With the microscope, the scientist observed the scientist.",The scientist observed the scientist who had the microscope.,css_human_change_v1
61,role_000035,role_reversal,The musician blamed the writer.,The writer blamed the musician.,css_human_change_v1
62,neg_000054,negation,The manager did not call the doctor.,The manager called the doctor.,css_human_change_v1
63,attach_000070,attachment,"With the microscope, the journalist observed the scientist.",The journalist observed the scientist who had the microscope.,css_human_change_v1
64,role_000090,role_reversal,The musician contacted the journalist.,The journalist contacted the musician.,css_human_change_v1
65,role_000049,role_reversal,The driver greeted the scientist.,The scientist greeted the driver.,css_human_change_v1
66,neg_000043,negation,The artist praised the researcher.,The artist did not praise the researcher.,css_human_change_v1
67,attach_000007,attachment,"With the notebook, the chef met the student.",The chef met the student who had the notebook.,css_human_change_v1
68,role_000066,role_reversal,The passenger called the lawyer.,The lawyer called the passenger.,css_human_change_v1
69,role_000075,role_reversal,The musician called the engineer.,The engineer called the musician.,css_human_change_v1
70,neg_000047,negation,The journalist visited the doctor.,The journalist did not visit the doctor.,css_human_change_v1
71,role_000076,role_reversal,The scientist contacted the researcher.,The researcher contacted the scientist.,css_human_change_v1
72,role_000072,role_reversal,The passenger greeted the researcher.,The researcher greeted the passenger.,css_human_change_v1
73,neg_000062,negation,The artist did not admire the musician.,The artist admired the musician.,css_human_change_v1
74,role_000095,role_reversal,The chef visited the nurse.,The nurse visited the chef.,css_human_change_v1
75,attach_000003,attachment,The coach checked the driver with the flashlight.,The coach checked the driver who had the flashlight.,css_human_change_v1
76,neg_000096,negation,The lawyer did not support the engineer.,The lawyer supported the engineer.,css_human_change_v1
77,neg_000097,negation,The teacher visited the lawyer.,The teacher did not visit the lawyer.,css_human_change_v1
78,neg_000016,negation,The coach did not promote the writer.,The coach promoted the writer.,css_human_change_v1
79,attach_000074,attachment,The athlete saw the man with the telescope.,"With the telescope, the athlete saw the man.",css_human_change_v1
80,neg_000087,negation,The chef interviewed the writer.,The chef did not interview the writer.,css_human_change_v1
81,neg_000042,negation,The journalist did not interview the passenger.,The journalist interviewed the passenger.,css_human_change_v1
82,neg_000026,negation,The researcher did not visit the journalist.,The researcher visited the journalist.,css_human_change_v1
83,role_000025,role_reversal,The journalist greeted the judge.,The judge greeted the journalist.,css_human_change_v1
84,attach_000076,attachment,"With the telescope, the lawyer saw the man.",The lawyer saw the man who had the telescope.,css_human_change_v1
85,role_000092,role_reversal,The passenger thanked the driver.,The driver thanked the passenger.,css_human_change_v1
86,attach_000032,attachment,The passenger questioned the officer with the badge.,"With the badge, the passenger questioned the officer.",css_human_change_v1
87,neg_000060,negation,The artist did not admire the scientist.,The artist admired the scientist.,css_human_change_v1
88,neg_000089,negation,The waiter supported the passenger.,The waiter did not support the passenger.,css_human_change_v1
89,role_000093,role_reversal,The musician promoted the waiter.,The waiter promoted the musician.,css_human_change_v1
90,attach_000014,attachment,The lawyer saw the man with the telescope.,"With the telescope, the lawyer saw the man.",css_human_change_v1
